result,number_of_fixations
9.418513218285689,4
9.434029840981722,3
9.445770800981695,4
9.464721815790986,4
9.50591289400648,5
9.513070288953365,6
9.552214218900094,6
9.557679041010477,5
9.572918811221692,5
9.5913846025191,5
9.591987788880308,5
9.59478384115077,5
9.632401652719006,4
9.662277963017155,5
9.679719163687496,5
9.781755732737317,5
9.814845641956047,6
9.839369327590543,5
9.872671199807005,5
9.877412481528646,5
9.897589880493479,4
10.04592652185909,4
10.048269547971946,4
10.150514231459487,4
10.169823854571655,4
10.218824963628567,4
10.240994691956871,5
10.245903265452627,6
10.277473632667952,5
10.322439641947645,5
10.380209894580766,5
10.39180635254134,6
10.40196005686335,7
10.411317495142823,7
10.423574369972771,6
10.426934166064788,6
10.46424149767582,7
10.467578074764967,6
10.485754589544849,5
10.487621306423598,5
10.487834444588433,5
10.490984813890682,6
10.513748413163505,5
10.532438687704285,5
10.56044630954408,4
10.605471606789305,4
10.620894220128566,5
10.621608351716011,5
10.633393704182659,5
10.663981900327286,4
10.745795970749514,4
10.749192779066718,3
10.794101829794869,4
10.818085505690396,4
10.867671559169802,4
10.953054334490043,3
10.996895146191184,4
11.005293832420596,4
11.067592962759216,5
11.254839042548236,4
11.299770241555672,5
11.358701469436982,6
11.366736549601764,6
11.369087853339055,5
11.398756213933321,5
11.44027325979624,5
11.456160981043121,6
11.50943595917348,5
11.58465115002779,5
11.607761193500236,6
11.685063726619246,6
11.701992350639664,7
11.7523999769182,7
11.766728238098517,6
11.789189788001888,7
11.80695270389055,7
11.847009045426669,8
11.86141806129303,9
11.89362014905628,9
11.89937188949889,8
11.903537624888491,8
11.907650698380923,8
11.92071877387766,9
12.018998654069517,8
12.031886939035473,8
12.043812598664255,9
12.05155064736501,8
12.069050146258125,8
12.0797530751037,7
12.09610143676349,7
12.10475902782303,6
12.134339975629086,6
12.143956853377366,6
12.166693271260222,7
12.228378022024764,8
12.231009846873837,9
12.256938247370798,10
12.370689640370255,9
12.39865615743578,9
12.401497387542845,10
12.409494280539597,10
12.414174705113211,10
12.427604703485995,10
12.435165586494767,9
12.4361676854429,8
12.447643737608761,8
12.478137880789102,7
12.527631826303638,6
12.550999678436483,5
12.574216960263925,5
12.651705376192602,6
12.660467704698016,7
12.680268424984842,7
12.684412430900728,7
12.703998564067108,8
12.707144310005518,8
12.707759992654651,8
12.72399383511491,7
12.737049131164515,7
12.776952086851026,6
12.809544592132625,6
12.871244952490104,6
12.926525253063916,5
12.94444739952301,6
12.964416790865199,6
12.986552259762657,7
12.987235798985045,7
13.006621521874374,8
13.019546550140497,7
13.044126889221674,6
13.045647167953474,7
13.05338815053317,8
13.057090176628096,9
13.095849484716386,10
13.09818781839504,10
13.104673839801453,9
13.111867823499662,8
13.132482951702485,9
13.14149795577226,9
13.151687707557812,8
13.197471315482954,8
13.197912334271606,8
13.267420701177924,8
13.283845424464086,8
13.292129211687328,7
13.318213558439975,6
13.452188298199578,5
13.459058820560154,5
13.469746008456136,5
13.551620746478989,5
13.559448330714321,6
13.56064621060924,7
13.584568955162034,8
13.58909396837202,8
13.593911133160253,8
13.624328693112071,8
13.642819863859293,8
13.678338674805387,9
13.686637330882226,10
13.734910451375148,10
13.75710882105575,11
13.772565231518364,11
13.817596377219783,11
13.85679177984912,11
13.862760305624988,11
13.90405699870678,12
13.912349681984777,12
13.914739875735181,11
13.919884183676555,10
13.933050929913424,10
13.933271886578426,10
13.94283397037098,9
13.95295665673882,9
13.9544193559103,9
13.974230364849793,9
13.99480945032154,9
14.002542679047254,9
14.01406565218504,8
14.025308566063499,7
14.068471542867806,8
14.083809391745062,8
14.100731834722339,8
14.106943066058308,7
14.210617939489508,6
14.264510844416336,6
14.389396381345824,6
14.408027471560416,6
14.411426434020287,5
14.457031958333843,4
14.532579002207036,5
14.546854146840419,6
14.58937762761562,5
14.694775215576076,4
14.702774110883253,4
14.767003822101243,4
14.767003822101243,4
14.853488541381186,4
14.895218999251348,4
15.053433478712089,4
15.313686709524205,4
15.333229596934043,4
15.39986179677154,5
15.488999795457284,6
15.595922880391214,6
15.66527819934508,6
15.683002037786698,7
15.780206739921988,6
15.824101236978729,6
15.861996962562998,6
15.89261006950377,5
16.045405743078078,5
16.130149866642714,6
16.15272709303507,6
16.403302220767994,5
16.545391641760844,5
16.5545871984539,5
16.579711946968878,5
16.58637602723947,6
16.76522235122919,6
16.772418767106604,7
16.77339382046109,8
16.7807682971066,9
16.816944477917314,9
